iteration;avg_executed;avg_worst;avg_average;avg_best
0;-15.00177848987331;-15.00177848987331;-15.00177848987331;-15.00177848987331
1;-14.89332218583617;-14.9640554370039;-14.928688811420038;-14.89332218583617
2;-14.82943617132934;-14.926499027604597;-14.875208923841491;-14.82875359895652
3;-14.758317733918636;-14.891831770710473;-14.820395195421874;-14.757635088790883
4;-14.705726777772734;-14.864548590500615;-14.778412906577799;-14.705509571503477
5;-14.656016698644853;-14.84420577522793;-14.742269118904032;-14.655303143770704
6;-14.625433402596503;-14.828025557685267;-14.718804201243223;-14.625433402596503
7;-14.609049590506006;-14.817530139139544;-14.702964149963366;-14.608956513276098
8;-14.585253927227184;-14.815415443689062;-14.688241618330355;-14.584757501294451
9;-14.559353320019229;-14.79327909866326;-14.660601329123091;-14.555828052120953
10;-14.558326688763753;-14.791850568048295;-14.65730039354534;-14.555130962409258
