iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;11:49:14;11:49:14;11:49:14;;;11:49:14;11:49:15;11:49:15;11:49:15;11:49:15;11:49:15;11:49:15;11:49:16;11:49:16;11:49:16;11:49:16;11:49:16;11:49:16;11:49:17;11:49:17;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
1;11:49:17;11:49:17;11:49:17;11:49:17;11:49:17;11:49:17;11:49:17;11:49:17;11:49:17;11:49:17;11:49:17;11:49:17;11:49:18;11:49:18;11:49:18;11:49:18;11:49:18;11:49:18;11:49:18;11:49:18;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
2;11:49:18;11:49:18;11:49:18;11:49:18;11:49:18;11:49:18;;;11:49:18;11:49:18;11:49:18;11:49:18;11:49:19;11:49:19;11:49:19;11:49:19;11:49:19;11:49:19;11:49:19;11:49:19;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
3;11:49:19;11:49:19;11:49:19;11:49:19;11:49:19;11:49:19;;;11:49:19;11:49:19;11:49:19;11:49:19;11:49:20;11:49:20;11:49:20;11:49:20;11:49:20;11:49:20;11:49:20;11:49:20;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
4;11:49:20;11:49:20;11:49:20;11:49:20;11:49:20;11:49:20;;;11:49:20;11:49:20;11:49:20;11:49:20;11:49:21;11:49:21;11:49:21;11:49:21;11:49:21;11:49:21;11:49:22;11:49:22;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
5;11:49:22;11:49:22;11:49:22;11:49:22;11:49:22;11:49:22;;;11:49:22;11:49:22;11:49:22;11:49:22;11:49:22;11:49:22;11:49:22;11:49:22;11:49:22;11:49:22;11:49:23;11:49:23;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
6;11:49:23;11:49:23;11:49:23;11:49:23;11:49:23;11:49:23;;;11:49:23;11:49:23;11:49:23;11:49:23;11:49:24;11:49:24;11:49:24;11:49:24;11:49:24;11:49:24;11:49:24;11:49:24;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
7;11:49:24;11:49:24;11:49:24;11:49:24;11:49:24;11:49:24;;;11:49:24;11:49:24;11:49:24;11:49:24;11:49:25;11:49:25;11:49:25;11:49:25;11:49:25;11:49:25;11:49:25;11:49:25;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
8;11:49:25;11:49:25;11:49:25;11:49:25;11:49:25;11:49:25;;;11:49:25;11:49:25;11:49:25;11:49:25;11:49:26;11:49:26;11:49:26;11:49:26;11:49:26;11:49:26;11:49:26;11:49:26;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
9;11:49:26;11:49:26;11:49:26;11:49:26;11:49:26;11:49:26;;;11:49:26;11:49:26;11:49:26;11:49:26;11:49:27;11:49:27;11:49:27;11:49:27;11:49:27;11:49:27;11:49:27;11:49:27;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
10;11:49:27;11:49:27;11:49:27;11:49:27;11:49:27;11:49:27;;;11:49:27;11:49:27;11:49:27;11:49:27;11:49:28;11:49:28;11:49:28;11:49:28;11:49:28;11:49:28;11:49:28;11:49:28;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01
